iter	Passed	Remaining
0	57	57936
1	65	32708
2	73	24347
3	83	20891
4	94	18821
5	100	16607
6	112	15998
7	118	14723
8	130	14339
9	138	13695
10	146	13169
11	155	12817
12	163	12446
13	175	12374
14	182	11968
15	193	11905
16	199	11545
17	210	11457
18	216	11159
19	227	11125
20	234	10909
21	243	10809
22	250	10646
23	260	10581
24	271	10604
25	278	10446
26	290	10465
27	296	10289
28	307	10287
29	313	10130
30	323	10103
31	328	9949
32	339	9961
33	347	9861
34	357	9856
35	370	9919
36	391	10195
37	405	10259
38	415	10237
39	424	10184
40	435	10184
41	444	10139
42	456	10161
43	466	10143
44	473	10056
45	484	10050
46	492	9976
47	504	10010
48	514	9994
49	523	9947
50	533	9923
51	548	9992
52	566	10114
53	573	10054
54	584	10050
55	591	9971
56	603	9990
57	615	9988
58	622	9929
59	631	9888
60	644	9925
61	651	9862
62	661	9835
63	670	9805
64	680	9785
65	689	9755
66	697	9714
67	711	9751
68	724	9773
69	730	9709
70	743	9732
71	751	9686
72	763	9699
73	776	9716
74	789	9739
75	797	9699
76	810	9715
77	816	9656
78	826	9639
79	833	9583
80	843	9568
81	853	9556
82	860	9506
83	869	9483
84	878	9458
85	891	9473
86	897	9421
87	907	9403
88	915	9375
89	924	9349
90	930	9290
91	941	9294
92	957	9335
93	983	9482
94	1000	9526
95	1008	9495
96	1018	9482
97	1025	9439
98	1034	9417
99	1042	9385
100	1055	9398
101	1063	9359
102	1073	9352
103	1081	9321
104	1091	9301
105	1100	9277
106	1107	9242
107	1115	9216
108	1125	9198
109	1135	9185
110	1142	9149
111	1153	9149
112	1164	9143
113	1174	9126
114	1182	9101
115	1190	9076
116	1200	9063
117	1207	9022
118	1219	9025
119	1225	8986
120	1235	8978
121	1244	8959
122	1255	8950
123	1269	8968
124	1278	8949
125	1287	8931
126	1300	8939
127	1309	8917
128	1319	8909
129	1328	8889
130	1338	8876
131	1349	8874
132	1358	8857
133	1367	8839
134	1377	8825
135	1386	8806
136	1396	8798
137	1402	8763
138	1412	8751
139	1419	8722
140	1431	8718
141	1437	8683
142	1448	8682
143	1454	8647
144	1465	8639
145	1471	8609
146	1483	8610
147	1490	8582
148	1501	8573
149	1509	8551
150	1519	8544
151	1529	8534
152	1538	8516
153	1550	8520
154	1562	8517
155	1571	8502
156	1582	8498
157	1595	8499
158	1605	8489
159	1613	8468
160	1628	8487
161	1640	8484
162	1653	8491
163	1663	8482
164	1675	8481
165	1688	8485
166	1695	8457
167	1708	8459
168	1718	8452
169	1728	8440
170	1740	8438
171	1746	8408
172	1756	8396
173	1764	8376
174	1774	8365
175	1783	8348
176	1791	8331
177	1801	8317
178	1808	8296
179	1818	8283
180	1826	8265
181	1836	8253
182	1846	8242
183	1855	8230
184	1861	8201
185	1873	8200
186	1883	8188
187	1891	8170
188	1902	8163
189	1908	8136
190	1920	8132
191	1925	8104
192	1936	8097
193	1943	8074
194	1955	8071
195	1962	8050
196	1972	8039
197	1978	8012
198	1990	8013
199	2001	8006
200	2007	7981
201	2018	7972
202	2024	7947
203	2033	7933
204	2040	7911
205	2048	7895
206	2055	7875
207	2064	7859
208	2071	7840
209	2077	7816
210	2087	7805
211	2101	7810
212	2106	7783
213	2117	7776
214	2124	7756
215	2135	7749
216	2140	7723
217	2151	7717
218	2156	7692
219	2168	7687
220	2173	7662
221	2186	7662
222	2197	7656
223	2203	7632
224	2209	7612
225	2218	7597
226	2223	7571
227	2233	7563
228	2239	7541
229	2249	7531
230	2255	7508
231	2266	7502
232	2271	7477
233	2282	7471
234	2289	7453
235	2300	7446
236	2305	7423
237	2316	7417
238	2322	7394
239	2332	7386
240	2337	7362
241	2348	7355
242	2353	7332
243	2365	7327
244	2371	7309
245	2381	7298
246	2389	7283
247	2399	7277
248	2408	7264
249	2416	7250
250	2423	7232
251	2432	7221
252	2440	7205
253	2448	7192
254	2460	7187
255	2467	7170
256	2477	7162
257	2487	7152
258	2497	7146
259	2509	7141
260	2517	7127
261	2529	7126
262	2539	7115
263	2550	7110
264	2562	7107
265	2573	7101
266	2583	7091
267	2593	7083
268	2601	7068
269	2613	7065
270	2624	7060
271	2633	7047
272	2643	7038
273	2654	7032
274	2663	7022
275	2675	7019
276	2683	7005
277	2694	6997
278	2703	6986
279	2712	6975
280	2722	6967
281	2730	6952
282	2738	6937
283	2747	6927
284	2755	6911
285	2764	6902
286	2774	6893
287	2782	6880
288	2789	6863
289	2799	6853
290	2809	6845
291	2817	6831
292	2827	6821
293	2834	6805
294	2841	6791
295	2851	6782
296	2857	6763
297	2866	6752
298	2874	6738
299	2883	6727
300	2893	6719
301	2905	6714
302	2915	6706
303	2924	6694
304	2931	6680
305	2942	6672
